# [해상] 출처: 한국무역협회(KITA) | 시장 평균 해상운임(Ocean Freight), 부산발 | 부대비용 별도 / 이용 선사·물동량·결제조건에 따라 상이 | 운임 업로드: 매월 첫째 주 | 단위: USD
분류,출발(도시),도착(국가),도착(도시),년,월,TEU,FEU,단위(USD-해상),100kg,300kg,500kg,단위(USD-항공),업데이트 일자
해상,Busan,북미,Long Beach,2018,04,1120.0,1400.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2018,03,1040.0,1300.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2018,02,1360.0,1700.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2018,01,1600.0,2000.0,USD,,,,,2026-05-24
해상,Busan,북미,Los Angeles,2026,05,2400.0,2900.0,USD,,,,,2026-05-24
해상,Busan,북미,Los Angeles,2026,04,2900.0,3100.0,USD,,,,,2026-05-24
해상,Busan,북미,Los Angeles,2026,03,2300.0,2860.0,USD,,,,,2026-05-24
해상,Busan,북미,Los Angeles,2026,02,1450.0,1850.0,USD,,,,,2026-05-24
해상,Busan,북미,Los Angeles,2026,01,2500.0,3100.0,USD,,,,,2026-05-24
해상,Busan,북미,Los Angeles,2025,12,1600.0,2000.0,USD,,,,,2026-05-24
해상,Busan,북미,Los Angeles,2025,11,2300.0,3300.0,USD,,,,,2026-05-24
해상,Busan,북미,Los Angeles,2025,10,1300.0,1600.0,USD,,,,,2026-05-24
해상,Busan,북미,Los Angeles,2025,09,2000.0,2400.0,USD,,,,,2026-05-24
해상,Busan,북미,Los Angeles,2025,08,1600.0,1900.0,USD,,,,,2026-05-24
해상,Busan,북미,Los Angeles,2025,07,2200.0,2700.0,USD,,,,,2026-05-24
해상,Busan,북미,Los Angeles,2025,06,5200.0,6500.0,USD,,,,,2026-05-24
해상,Busan,북미,Los Angeles,2025,05,1800.0,2200.0,USD,,,,,2026-05-24
해상,Busan,북미,Los Angeles,2025,04,2200.0,2800.0,USD,,,,,2026-05-24
해상,Busan,북미,Los Angeles,2025,03,2350.0,3300.0,USD,,,,,2026-05-24
