# [해상] 출처: 한국무역협회(KITA) | 시장 평균 해상운임(Ocean Freight), 부산발 | 부대비용 별도 / 이용 선사·물동량·결제조건에 따라 상이 | 운임 업로드: 매월 첫째 주 | 단위: USD
# [항공] 출처: 한국무역협회(KITA) | 시장 평균 항공운임(Air Freight), 부산발 | 부대비용 별도 / 이용 항공사·물동량·결제조건에 따라 상이 | 공시 운임 구성: 기본 항공운임 + 유류할증료 + 터미널 화물처리비용 | 운임 업로드: 매월 첫째 주 | 단위: USD
분류,출발(도시),도착(국가),도착(도시),년,월,TEU,FEU,단위(USD-해상),100kg,300kg,500kg,단위(USD-항공),업데이트 일자
항공,Incheon,북미,Los Angeles,2019,07,,,,2700.0,2600.0,2500.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2019,06,,,,2700.0,2600.0,2500.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2019,05,,,,2700.0,2600.0,2500.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2019,04,,,,2700.0,2600.0,2500.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2019,03,,,,3300.0,3200.0,3100.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2019,02,,,,3300.0,3200.0,3100.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2019,01,,,,3900.0,3800.0,3700.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2018,12,,,,4000.0,3900.0,3800.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2018,11,,,,4600.0,4500.0,4400.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2018,10,,,,4500.0,4400.0,4300.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2018,09,,,,4300.0,4200.0,4100.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2018,08,,,,3300.0,3200.0,3100.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2018,07,,,,3200.0,3100.0,3000.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2018,06,,,,3200.0,3100.0,3000.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2018,05,,,,3200.0,3100.0,3000.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2018,04,,,,3300.0,3200.0,3100.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2018,03,,,,3600.0,3500.0,3400.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2018,02,,,,4000.0,3900.0,3800.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2018,01,,,,4300.0,4200.0,4100.0,USD,2026-05-24
